country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,DataType,Yearly Change Smoothed(moving-averages),World Urban Population,Population Normalized(min-max),Urban Population Normalized(min-max),Median Age Normalized(z-score),Density Normalized(decimal-scaling),Median Age Binned,Yearly Change Binned,Annual_Population_Growth,Migration_Rate,Dependency_Ratio,3_Year_Pop_Avg,is_outlier
Singapore,2015,5592152,0.0174,92196,63406.0,39.7,1.23,7989,0.99,5535262.0,0.0008,7379797139,Historical,69361.66667,3974036572,0.003411171,0.005068748,1.059934492,0.07989,Middle-aged Adults,Low,-0.0108747754099398,0.0113383899436209,0.6583747927031509,5651275.666666667,True
Saint Martin,1985,11061,0.0475,458,0.0,48.4,1.44,209,0.0,0.0,0.0,4870921740,Historical,1236.666667,2008908528,6.36e-06,0.0,1.92823989,0.00209,Middle-aged Adults,Low,-0.6490799492385787,0.0,0.9379844961240308,23300.666666666668,True
Saint Barthelemy,1985,3368,0.0179,57,-9000.0,27.2,4.1,160,0.0,0.0,0.0,4870921740,Historical,219.0,2008908528,1.66e-06,0.0,-0.187630734,0.0016,Young Adults,Low,-0.36917025660236,-2.672209026128266,0.3736263736263737,5024.666666666667,True
Rwanda,1990,7288882,0.0347,228398,6000.0,15.3,7.8,295,0.054,391898.0,0.0014,5327231061,Historical,119119.3333,2288105485,0.004446283,0.000358869,-1.37531283,0.00295,Young Adults,Low,0.2488457541726669,0.0008231715097047,0.1806375442739079,7019686.0,True
Qatar,2005,865416,0.0787,54590,42783.0,31.0,2.95,75,0.973,842340.0,0.0001,6541907027,Historical,131549.6667,3210427237,0.000527565,0.000771347,0.191629095,0.00075,Young Adults,Low,-0.5338019648477881,0.0494363404420533,0.4492753623188406,1762484.3333333333,True
Qatar,2000,592468,0.029,15805,5901.0,30.5,3.46,51,0.963,570417.0,0.0001,6143493823,Historical,89525.66667,2865195724,0.00036105,0.000522342,0.141726485,0.00051,Young Adults,Low,-0.3153951394473872,0.0099600315966431,0.4388489208633093,1104737.0,True
Qatar,1980,223632,0.0636,11862,5677.0,23.4,6.1,19,0.894,199973.0,0.0001,4458003514,Historical,20797.33333,1755434817,0.000136037,0.000183119,-0.566890563,0.00019,Young Adults,Low,-0.3970395535064305,0.0253854546755383,0.3054830287206266,356933.3333333333,True
Qatar,1970,109514,0.0826,7176,4212.0,22.0,6.97,9,0.884,96760.0,0.0,3700437046,Historical,9999.666667,1355792207,6.64e-05,8.86e-05,-0.706617869,9e-05,Young Adults,Low,-0.3335321324245375,0.0384608360574903,0.2820512820512821,165822.0,True
Qatar,1965,73633,0.0922,5250,3279.0,20.5,6.97,6,0.871,64100.0,0.0,3339583597,Historical,7795.666667,1188442083,4.45e-05,5.87e-05,-0.856325696,6e-05,Young Adults,Low,-0.3276384754460617,0.0445316637920497,0.2578616352201258,115822.33333333331,True
Qatar,1960,47384,0.0573,2304,911.0,19.4,6.97,4,0.853,40407.0,0.0,3034949748,Historical,4910.0,1023987607,2.85e-05,3.7e-05,-0.966111436,4e-05,Young Adults,Low,-0.3564841850800592,0.0192258990376498,0.2406947890818858,76843.66666666667,True
Palau,1985,13528,0.0212,270,-171178.0,30.0,3.55,29,0.682,9228.0,0.0,4870921740,Historical,332.3333333,2008908528,7.86e-06,8.45e-06,0.091823876,0.00029,Young Adults,Low,-0.1016071191393279,-12.653607332939089,0.4285714285714285,15250.0,True
Palau,1980,12179,-0.0115,-145,-171178.0,30.0,3.55,26,0.626,7626.0,0.0,4458003514,Historical,143.6666667,1755434817,7.04e-06,6.98e-06,0.091823876,0.00026,Young Adults,Low,-0.0997191011235955,-14.055176943919864,0.4285714285714286,13588.333333333334,True
Palau,1975,12904,0.0179,219,-171178.0,30.0,3.55,28,0.582,7507.0,0.0,4079480606,Historical,114.6666667,1540040106,7.48e-06,6.87e-06,0.091823876,0.00028,Young Adults,Low,0.0595286969373511,-13.265499070055796,0.4285714285714286,12870.333333333334,True
Palau,1970,11811,0.0143,162,-171178.0,30.0,3.55,26,0.58,6855.0,0.0,3700437046,Historical,78.66666667,1355792207,6.81e-06,6.28e-06,0.091823876,0.00026,Young Adults,Low,-0.0847024178549287,-14.493099652865972,0.4285714285714285,12298.0,True
Palau,1965,11003,0.024,246,-171178.0,30.0,3.55,24,0.415,4570.0,0.0,3339583597,Historical,209.0,1188442083,6.32e-06,4.18e-06,0.091823876,0.00024,Young Adults,Low,-0.0684108034882736,-15.55739343815323,0.4285714285714285,11906.0,True
Palau,1960,9771,0.0326,290,-171178.0,30.0,3.55,21,0.561,5479.0,0.0,3034949748,Historical,232.6666667,1023987607,5.57e-06,5.02e-06,0.091823876,0.00021,Young Adults,Low,-0.1119694628737617,-17.518984750793162,0.4285714285714285,10861.666666666666,True
Palau,1955,8322,0.0226,176,-171178.0,30.0,3.55,18,0.549,4570.0,0.0,2773019936,Historical,237.3333333,877161793,4.68e-06,4.18e-06,0.091823876,0.00018,Young Adults,Low,-0.1482959778937672,-20.56933429464071,0.4285714285714286,9698.666666666666,True
Oman,2010,3041434,0.0391,106037,53400.0,26.2,2.9,10,0.752,2285997.0,0.0004,6956823603,Historical,187697.0,3589494707,0.001855073,0.002093332,-0.287435953,0.0001,Young Adults,Low,-0.2872777190892329,0.0175575074126218,0.3550135501355013,3929333.6666666665,True
Northern Mariana Islands,1985,28720,0.1154,2417,-1000.0,48.3,1.5,62,0.895,25712.0,0.0,4870921740,Historical,1949.0,2008908528,1.71e-05,2.35e-05,1.918259369,0.00062,Middle-aged Adults,Low,-0.3722678789998251,-0.0348189415041782,0.9342359767891684,40114.0,True
Northern Mariana Islands,1980,16633,0.0219,342,-1000.0,48.3,1.5,36,0.883,14684.0,0.0,4458003514,Historical,2055.0,1755434817,9.75e-06,1.34e-05,1.918259369,0.00036,Middle-aged Adults,Low,-0.4208565459610027,-0.0601214453195454,0.934235976789168,30368.33333333333,True
Niue,2050,1778,0.003,5,-61108.0,22.4,5.42,7,0.616,1096.0,0.0,9735033990,Forecasted,58315.33333,6659490517,6.92e-07,1e-06,-0.666695782,7e-05,Young Adults,Low,0.0,-34.368953880764906,0.2886597938144329,1778.0,True
Niue,2045,1752,0.0025,4,-61108.0,22.4,5.42,7,0.595,1043.0,0.0,9481803274,Forecasted,-30829.0,6294783425,6.76e-07,9.55e-07,-0.666695782,7e-05,Young Adults,Low,-0.014623172103487,-34.87899543378995,0.2886597938144329,1765.0,True
Niue,2040,1730,0.004,7,-61108.0,22.4,5.42,7,0.575,994.0,0.0,9198847240,Forecasted,5.333333333,5925746494,6.63e-07,9.1e-07,-0.666695782,7e-05,Young Adults,Low,-0.0125570776255707,-35.32254335260116,0.2886597938144329,1753.3333333333333,True
Niue,2035,1696,0.0038,6,-61108.0,22.4,5.42,7,0.554,939.0,0.0,8887524213,Forecasted,5.666666667,5547549780,6.42e-07,8.6e-07,-0.666695782,7e-05,Young Adults,Low,-0.0196531791907514,-36.030660377358494,0.2886597938144329,1726.0,True
Niue,2030,1664,0.0052,9,-61108.0,22.4,5.42,6,0.528,878.0,0.0,8548487400,Forecasted,7.333333333,5159500931,6.22e-07,8.04e-07,-0.666695782,6e-05,Young Adults,Low,-0.0188679245283018,-36.72355769230769,0.2886597938144329,1696.6666666666667,True
Niue,2025,1621,-0.0006,-1,-61108.0,22.4,5.42,6,0.5,810.0,0.0,8184437460,Forecasted,4.666666667,4767618074,5.96e-07,7.42e-07,-0.666695782,6e-05,Young Adults,Low,-0.0258413461538461,-37.69771745835904,0.2886597938144329,1660.3333333333333,True
Niue,2020,1626,0.0009,1,-61108.0,22.4,5.42,6,0.464,754.0,0.0,7794798739,Forecasted,3.0,8732896403,5.99e-07,6.9e-07,-0.666695782,6e-05,Young Adults,Low,0.0030845157310301,-37.58179581795818,0.2886597938144329,1637.0,True
Niue,2019,1615,-0.0031,-5,-61108.0,22.4,5.42,6,0.459,741.0,0.0,7713468100,Historical,-1.666666667,4277723521,5.92e-07,6.79e-07,-0.666695782,6e-05,Young Adults,Low,-0.0067650676506765,-37.83777089783282,0.2886597938144329,1620.6666666666667,True
Niue,2018,1620,0.0068,11,-61108.0,22.4,5.42,6,0.449,727.0,0.0,7631091040,Historical,2.333333333,4209305915,5.95e-07,6.66e-07,-0.666695782,6e-05,Young Adults,Low,0.0030959752321981,-37.720987654320986,0.2886597938144329,1620.3333333333333,True
Niue,2017,1609,-0.0031,-5,-61108.0,22.4,5.42,6,0.443,713.0,0.0,7547858925,Historical,0.333333333,4130196596,5.89e-07,6.53e-07,-0.666695782,6e-05,Young Adults,Low,-0.00679012345679,-37.97886886264761,0.2886597938144329,1614.6666666666667,True
Niue,2016,1614,-0.0031,-5,-61108.0,22.4,5.42,6,0.436,703.0,0.0,7464022049,Historical,0.333333333,4053027738,5.92e-07,6.44e-07,-0.666695782,6e-05,Young Adults,Low,0.0031075201988812,-37.861214374225526,0.2886597938144329,1614.3333333333333,True
Niue,2015,1619,0.0001,0,-61108.0,22.4,5.42,6,0.428,693.0,0.0,7379797139,Historical,-3.333333333,3974036572,5.95e-07,6.35e-07,-0.666695782,6e-05,Young Adults,Low,0.0030978934324659,-37.74428659666461,0.2886597938144329,1614.0,True
Niue,2010,1618,-0.0078,-13,-61108.0,22.4,5.42,6,0.389,630.0,0.0,6956823603,Historical,-6.0,3589494707,5.94e-07,5.77e-07,-0.666695782,6e-05,Young Adults,Low,-0.0006176652254478,-37.76761433868974,0.2886597938144329,1617.0,True
Niue,2005,1683,-0.0239,-43,-61108.0,22.4,5.42,6,0.352,593.0,0.0,6541907027,Historical,-18.66666667,3210427237,6.34e-07,5.43e-07,-0.666695782,6e-05,Young Adults,Low,0.0401730531520394,-36.30897207367796,0.2886597938144329,1640.0,True
Niue,2000,1899,-0.0259,-53,-61108.0,22.4,5.42,7,0.331,628.0,0.0,6143493823,Historical,-36.33333333,2865195724,7.66e-07,5.75e-07,-0.666695782,7e-05,Young Adults,Low,0.1283422459893048,-32.179041600842545,0.2886597938144329,1733.3333333333333,True
Niue,1995,2165,-0.0145,-33,-61108.0,22.4,5.42,8,0.315,681.0,0.0,5744212979,Historical,-43.0,2573011970,9.28e-07,6.24e-07,-0.666695782,8e-05,Young Adults,Low,0.1400737230121116,-28.22540415704388,0.2886597938144329,1915.6666666666667,True
Niue,1990,2329,-0.0305,-78,-61108.0,22.4,5.42,9,0.309,720.0,0.0,5327231061,Historical,-54.66666667,2288105485,1.03e-06,6.59e-07,-0.666695782,9e-05,Young Adults,Low,0.0757505773672055,-26.237870330614,0.2886597938144329,2131.0,True
Niue,1985,2719,-0.0439,-137,-61108.0,22.4,5.42,10,0.31,844.0,0.0,4870921740,Historical,-82.66666667,2008908528,1.27e-06,7.73e-07,-0.666695782,0.0001,Young Adults,Low,0.167453842851009,-22.47443913203384,0.2886597938144329,2404.333333333333,True
Niue,1980,3404,-0.0306,-114,-61108.0,22.4,5.42,13,0.27,920.0,0.0,4458003514,Historical,-109.6666667,1755434817,1.68e-06,8.42e-07,-0.666695782,0.00013,Young Adults,Low,0.2519308569326959,-17.951821386603996,0.2886597938144329,2817.333333333333,True
Niue,1975,3976,-0.0499,-232,-61108.0,22.4,5.42,15,0.234,929.0,0.0,4079480606,Historical,-161.0,1540040106,2.03e-06,8.51e-07,-0.666695782,0.00015,Young Adults,Low,0.1680376028202115,-15.369215291750503,0.2886597938144329,3366.333333333333,True
Niue,1970,5135,0.0014,7,-61108.0,22.4,5.42,20,0.211,1083.0,0.0,3700437046,Historical,-113.0,1355792207,2.74e-06,9.92e-07,-0.666695782,0.0002,Young Adults,Low,0.2914989939637826,-11.90029211295034,0.2886597938144329,4171.666666666667,True
Niue,1960,4826,0.0056,26,-61108.0,22.4,5.42,19,0.215,1038.0,0.0,3034949748,Historical,29.0,1023987607,2.55e-06,9.51e-07,-0.666695782,0.00019,Young Adults,Low,-0.0533542565712044,-12.662246166597596,0.2886597938144329,5019.666666666667,True
Niue,1955,4694,0.0012,5,-61108.0,22.4,5.42,18,0.215,1009.0,0.0,2773019936,Historical,28.33333333,877161793,2.47e-06,9.24e-07,-0.666695782,0.00018,Young Adults,Low,-0.0273518441773725,-13.018321261184491,0.2886597938144329,4872.666666666667,True
Montserrat,1995,9848,-0.0149,-153,-480.0,44.8,1.75,98,0.13,1279.0,0.0,5744212979,Historical,-385.3333333,2573011970,5.62e-06,1.17e-06,1.568941105,0.00098,Middle-aged Adults,Low,0.9979711909109352,-0.0487408610885458,0.8115942028985506,6537.333333333333,True
Montserrat,1955,14233,0.0103,143,-480.0,44.8,1.75,142,0.159,2259.0,0.0,2773019936,Historical,-119.3333333,877161793,8.29e-06,2.07e-06,1.568941105,0.00142,Middle-aged Adults,Low,0.1903487496863762,-0.0337244431953909,0.8115942028985506,12638.666666666666,True
Monaco,2050,46002,0.0046,211,-1387.0,48.9,1.26,30874,0.993,45685.0,0.0,9735033990,Forecasted,11757.33333,6659490517,2.77e-05,4.18e-05,1.978142499,0.30874,Middle-aged Adults,Low,0.0,-0.0301508630059562,0.9569471624266144,46002.0,True
Monaco,2045,44949,0.0044,195,-1387.0,48.9,1.26,30167,0.99,44513.0,0.0,9481803274,Forecasted,5129.0,6294783425,2.7e-05,4.08e-05,1.978142499,0.30167,Middle-aged Adults,Low,-0.0228903091169949,-0.0308571937084251,0.9569471624266144,45475.5,True
Monaco,2040,43972,0.0048,209,-1387.0,48.9,1.26,29511,0.989,43487.0,0.0,9198847240,Forecasted,205.0,5925746494,2.64e-05,3.98e-05,1.978142499,0.29511,Middle-aged Adults,Low,-0.0217357449553938,-0.0315427999636132,0.9569471624266146,44974.333333333336,True
Monaco,2035,42929,0.0055,230,-1387.0,48.9,1.26,28811,0.989,42462.0,0.0,8887524213,Forecasted,211.3333333,5547549780,2.58e-05,3.89e-05,1.978142499,0.28811,Middle-aged Adults,Low,-0.0237196397707631,-0.0323091616389853,0.9569471624266144,43950.0,True
Monaco,2030,41777,0.0059,244,-1387.0,48.9,1.26,28038,0.99,41362.0,0.0,8548487400,Forecasted,227.6666667,5159500931,2.51e-05,3.79e-05,1.978142499,0.28038,Middle-aged Adults,Low,-0.0268350066388688,-0.033200086171817,0.9569471624266146,42892.66666666666,True
Monaco,2025,40557,0.0066,263,-1387.0,48.9,1.26,27219,0.994,40294.0,0.0,8184437460,Forecasted,245.6666667,4767618074,2.43e-05,3.69e-05,1.978142499,0.27219,Middle-aged Adults,Low,-0.0292026713263279,-0.0341987819611904,0.9569471624266144,41754.333333333336,True
Monaco,2020,39242,0.008,305,-1387.0,48.9,1.26,26337,0.99,42974.5,0.0,7794798739,Forecasted,270.6666667,8732896403,2.35e-05,3.94e-05,1.978142499,0.26337,Middle-aged Adults,Low,-0.0324235027245605,-0.0353447836501707,0.9569471624266144,40525.333333333336,True
Monaco,2019,38964,0.0073,282,-1387.0,48.9,1.26,26150,0.999,30691.0,0.0,7713468100,Historical,283.3333333,4277723521,2.34e-05,2.81e-05,1.978142499,0.2615,Middle-aged Adults,Low,-0.0070842464706182,-0.035596961297608,0.9569471624266146,39587.66666666666,True
Monaco,2018,38682,0.0076,290,-1387.0,48.9,1.26,25961,0.999,30691.0,0.0,7631091040,Historical,292.3333333,4209305915,2.32e-05,2.81e-05,1.978142499,0.25961,Middle-aged Adults,Low,-0.0072374499538034,-0.0358564707098909,0.9569471624266144,38962.66666666666,True
Monaco,2017,38392,0.0085,322,-1387.0,48.9,1.26,25766,0.999,30691.0,0.0,7547858925,Historical,298.0,4130196596,2.3e-05,2.81e-05,1.978142499,0.25766,Middle-aged Adults,Low,-0.0074970270410009,-0.0361273181912898,0.9569471624266144,38679.333333333336,True
Monaco,2016,38070,0.0093,352,-1387.0,48.9,1.26,25550,0.999,30691.0,0.0,7464022049,Historical,321.3333333,4053027738,2.28e-05,2.81e-05,1.978142499,0.2555,Middle-aged Adults,Low,-0.0083871639924983,-0.0364328867874967,0.9569471624266144,38381.333333333336,True
Monaco,2015,37718,0.0116,421,-1387.0,48.9,1.26,25314,0.999,30691.0,0.0,7379797139,Historical,365.0,3974036572,2.26e-05,2.81e-05,1.978142499,0.25314,Middle-aged Adults,Low,-0.0092461255581822,-0.0367728935786627,0.9569471624266144,38060.0,True
Monaco,2010,35612,0.0102,354,-1387.0,48.9,1.26,23901,0.999,30691.0,0.0,6956823603,Historical,375.6666667,3589494707,2.13e-05,2.81e-05,1.978142499,0.23901,Middle-aged Adults,Low,-0.0558354101490005,-0.0389475457710883,0.9569471624266144,37133.333333333336,True
Monaco,2005,33843,0.0103,339,-1387.0,48.9,1.26,22713,0.999,33793.0,0.0,6541907027,Historical,371.3333333,3210427237,2.03e-05,3.09e-05,1.978142499,0.22713,Middle-aged Adults,Low,-0.0496742671009772,-0.0409833643589516,0.9569471624266144,35724.333333333336,True
Monaco,2000,32147,0.0091,286,-1387.0,48.9,1.26,21575,0.998,32082.0,0.0,6143493823,Historical,326.3333333,2865195724,1.92e-05,2.94e-05,1.978142499,0.21575,Middle-aged Adults,Low,-0.0501137606004196,-0.0431455501290944,0.9569471624266146,33867.333333333336,True
Monaco,1995,30716,0.0085,256,-1387.0,48.9,1.26,20615,0.999,30691.0,0.0,5744212979,Historical,293.6666667,2573011970,1.83e-05,2.81e-05,1.978142499,0.20615,Middle-aged Adults,Low,-0.0445142626061529,-0.0451556192212527,0.9569471624266144,32235.33333333333,True
Monaco,1990,29438,0.0042,121,-1387.0,48.9,1.26,19757,0.999,30691.0,0.0,5327231061,Historical,221.0,2288105485,1.76e-05,2.81e-05,1.978142499,0.19757,Middle-aged Adults,Low,-0.0416069800755306,-0.0471159725524831,0.9569471624266144,30767.0,True
Monaco,1985,28832,0.0151,417,-1387.0,48.9,1.26,19350,0.999,30691.0,0.0,4870921740,Historical,264.6666667,2008908528,1.72e-05,2.81e-05,1.978142499,0.1935,Middle-aged Adults,Low,-0.0205856376112507,-0.0481062708102108,0.9569471624266144,29662.0,True
Monaco,1980,26745,0.012,309,-1387.0,48.9,1.26,17950,0.999,30691.0,0.0,4458003514,Historical,282.3333333,1755434817,1.59e-05,2.81e-05,1.978142499,0.1795,Middle-aged Adults,Low,-0.0723848501664816,-0.0518601607777154,0.9569471624266144,28338.33333333333,True
Monaco,1975,25198,0.0142,343,-1387.0,48.9,1.26,16911,1.0,25197.0,0.0,4079480606,Historical,356.3333333,1540040106,1.5e-05,2.31e-05,1.978142499,0.16911,Middle-aged Adults,Low,-0.0578425873995139,-0.0550440511151678,0.9569471624266144,26925.0,True
Monaco,1970,23484,0.0017,40,-1387.0,48.9,1.26,15761,0.999,30691.0,0.0,3700437046,Historical,230.6666667,1355792207,1.39e-05,2.81e-05,1.978142499,0.15761,Middle-aged Adults,Low,-0.0680212715294864,-0.0590614886731391,0.9569471624266144,25142.33333333333,True
Monaco,1965,23282,0.0073,166,-1387.0,48.9,1.26,15626,0.844,19655.0,0.0,3339583597,Historical,183.0,1188442083,1.38e-05,1.8e-05,1.978142499,0.15626,Middle-aged Adults,Low,-0.0086016010901038,-0.059573919766343,0.9569471624266144,23988.0,True
Monaco,1960,22452,0.027,559,-1387.0,48.9,1.26,15068,0.999,30691.0,0.0,3034949748,Historical,255.0,1023987607,1.33e-05,2.81e-05,1.978142499,0.15068,Middle-aged Adults,Low,-0.0356498582595996,-0.0617762337430963,0.9569471624266144,23072.666666666668,True
Monaco,1955,19655,-0.0034,-68,-1387.0,48.9,1.26,13191,0.999,30691.0,0.0,2773019936,Historical,219.0,877161793,1.16e-05,2.81e-05,1.978142499,0.13191,Middle-aged Adults,Low,-0.1245768751113486,-0.0705672856779445,0.9569471624266144,21796.33333333333,True
Macao,2050,838368,0.0055,4541,5000.0,50.5,1.2,27946,0.996,312466.0,0.0001,9735033990,Forecasted,69235.0,6659490517,0.000511064,0.000286131,2.137830848,0.27946,Middle-aged Adults,Low,0.0,0.0059639680903851,1.0202020202020203,838368.0,True
Macao,2045,815665,0.0062,4989,5000.0,50.3,1.2,27189,0.996,312466.0,0.0001,9481803274,Forecasted,33842.66667,6294783425,0.000497214,0.000286131,2.117869805,0.27189,Middle-aged Adults,Low,-0.0270799935112027,0.0061299675724715,1.012072434607646,827016.5,True
Macao,2040,790718,0.0071,5472,5000.0,48.9,1.2,26357,0.996,312466.0,0.0001,9198847240,Forecasted,5000.666667,5925746494,0.000481995,0.000286131,1.978142499,0.26357,Middle-aged Adults,Low,-0.0305848602060895,0.00632336686404,0.9569471624266146,814917.0,True
Macao,2035,763357,0.0085,6297,5000.0,46.8,1.2,25445,0.996,312466.0,0.0001,8887524213,Forecasted,5586.0,5547549780,0.000465303,0.000286131,1.768551541,0.25445,Middle-aged Adults,Low,-0.0346027281533998,0.0065500152615355,0.8796992481203008,789913.3333333334,True
Macao,2030,731874,0.0107,7596,5000.0,44.2,1.2,24396,0.996,312466.0,0.0001,8548487400,Forecasted,6455.0,5159500931,0.000446096,0.000286131,1.509057974,0.24396,Middle-aged Adults,Low,-0.0412428260957847,0.0068317770545203,0.7921146953405018,761983.0,True
Macao,2025,693893,0.0134,8912,5000.0,41.7,1.2,23130,0.996,312466.0,0.0001,8184437460,Forecasted,7601.666667,4767618074,0.000422925,0.000286131,1.259544929,0.2313,Middle-aged Adults,Low,-0.0518955448615472,0.0072057219196619,0.7152658662092627,729708.0,True
Macao,2020,649335,0.0152,9450,5000.0,39.3,1.2,21645,0.996,312466.0,0.0001,7794798739,Forecasted,8652.666667,8732896403,0.000395742,0.000286131,1.020012405,0.21645,Middle-aged Adults,Low,-0.0642145114592596,0.0077001855744723,0.6474464579901152,691700.6666666666,True
Macao,2020,649335,0.0139,8890,5000.0,39.3,1.2,21645,0.996,312466.0,0.0001,7794798739,Historical,9084.0,8732896403,0.000395742,0.000286131,1.020012405,0.21645,Middle-aged Adults,Low,0.0,0.0077001855744723,0.6474464579901152,664187.6666666666,True
Macao,2019,640445,0.0139,8809,5000.0,37.9,1.19,21348,0.996,312466.0,0.0001,7713468100,Historical,9049.666667,4277723521,0.000390319,0.000286131,0.8802851,0.21348,Young Adults,Low,-0.0136909299514118,0.0078070716454964,0.6103059581320451,646371.6666666666,True
Macao,2018,631636,0.0145,9051,5000.0,37.9,1.19,21055,0.996,312466.0,0.0001,7631091040,Historical,8916.666667,4209305915,0.000384945,0.000286131,0.8802851,0.21055,Young Adults,Low,-0.0137544988250357,0.0079159515923728,0.610305958132045,640472.0,True
Macao,2017,622585,0.0159,9749,5000.0,37.9,1.19,20753,1.0,622567.0,0.0001,7547858925,Historical,9203.0,4130196596,0.000379423,0.000570097,0.8802851,0.20753,Young Adults,Low,-0.0143294555725133,0.0080310319072897,0.610305958132045,631555.3333333334,True
Macao,2016,612836,0.0179,10751,5000.0,37.9,1.19,20428,0.999,612167.0,0.0001,7464022049,Historical,9850.333333,4053027738,0.000373476,0.000560573,0.8802851,0.20428,Young Adults,Low,-0.0156589060128335,0.0081587896272412,0.6103059581320451,622352.3333333334,True
Macao,2015,602085,0.0227,12773,8470.0,37.5,1.19,20070,0.998,600942.0,0.0001,7379797139,Historical,11091.0,3974036572,0.000366917,0.000550294,0.840363012,0.2007,Young Adults,Low,-0.0175430294564941,0.0140677811272494,0.6,612502.0,True
Macao,2010,538219,0.0219,11072,8476.0,36.3,0.98,17941,0.998,536969.0,0.0001,6956823603,Historical,11532.0,3589494707,0.000327955,0.000491713,0.720596751,0.17941,Young Adults,Low,-0.1060747236685849,0.0157482363127277,0.5698587127158555,584380.0,True
Macao,2005,482858,0.0245,11015,9257.0,34.4,0.85,16095,0.999,482559.0,0.0001,6541907027,Historical,11620.0,3210427237,0.000294181,0.000441889,0.530966836,0.16095,Young Adults,Low,-0.1028596166244595,0.0191712677433117,0.5243902439024389,541054.0,True
Macao,2000,427782,0.021,8454,5573.0,33.4,1.12,14259,0.996,312466.0,0.0001,6143493823,Historical,10180.33333,2865195724,0.000260581,0.000286131,0.431161618,0.14259,Young Adults,Low,-0.114062519415646,0.0130276636230603,0.5015015015015014,482953.0,True
Macao,1995,385513,0.0232,8341,4369.0,31.1,1.41,12850,1.0,385339.0,0.0001,5744212979,Historical,9270.0,2573011970,0.000234794,0.000352862,0.201609616,0.1285,Young Adults,Low,-0.0988096740863336,0.011332951158586,0.4513788098693759,432051.0,True
Macao,1990,343808,0.0393,12061,6693.0,28.9,2.0,11460,0.998,343119.0,0.0001,5327231061,Historical,9618.666667,2288105485,0.000209352,0.000314201,-0.017961864,0.1146,Young Adults,Low,-0.1081805282830928,0.0194672607967237,0.4064697609001406,385701.0,True
Macao,1985,283503,0.0355,9086,5029.0,27.6,2.06,9450,0.994,281813.0,0.0001,4870921740,Historical,9829.333333,2008908528,0.000172562,0.000258062,-0.147708647,0.0945,Young Adults,Low,-0.1754031319806404,0.0177387893602536,0.3812154696132597,337608.0,True
Macao,1980,238071,-0.003,-711,-2007.0,25.7,1.41,7936,0.985,234592.0,0.0001,4458003514,Historical,6812.0,1755434817,0.000144845,0.00021482,-0.337338562,0.07936,Young Adults,Low,-0.1602522724627252,-0.0084302582002847,0.3458950201884253,288460.6666666667,True
Macao,1975,241628,-0.0037,-913,-2194.0,22.6,1.79,8054,0.979,236533.0,0.0001,4079480606,Historical,2487.333333,1540040106,0.000147015,0.000216598,-0.646734738,0.08054,Young Adults,Low,0.0149409209857562,-0.0090800735014153,0.2919896640826873,254400.66666666663,True
Macao,1970,246194,0.0391,8593,6720.0,18.8,2.74,8206,0.97,238887.0,0.0001,3700437046,Historical,2323.0,1355792207,0.000149801,0.000218753,-1.025994567,0.08206,Young Adults,Low,0.0188968165941032,0.0272955474138281,0.2315270935960591,241964.3333333333,True
Kuwait,1990,2095344,0.0384,72014,23954.0,23.5,3.65,118,0.982,2057080.0,0.0004,5327231061,Historical,20656.33333,2288105485,0.001277899,0.001883708,-0.556910042,0.00118,Young Adults,Low,0.3047778163161987,0.0114320130727937,0.3071895424836601,1915456.0,True
Kuwait,1965,472037,0.119,40602,27400.0,21.3,7.3,26,0.795,375402.0,0.0001,3339583597,Historical,50179.66667,1188442083,0.000287579,0.000343763,-0.776481522,0.00026,Young Adults,Low,-0.3659251796628383,0.0580462972182265,0.2706480304955527,746069.0,True
Kuwait,1960,269029,0.0814,17428,10550.0,23.4,7.2,15,0.751,201926.0,0.0001,3034949748,Historical,37504.33333,1023987607,0.000163732,0.000184908,-0.566890563,0.00015,Young Adults,Low,-0.4300679819590414,0.0392151032044872,0.3054830287206266,495172.0,True
Kuwait,1955,181888,0.0351,5758,770.0,22.7,7.2,10,0.693,126132.0,0.0001,2773019936,Historical,21262.66667,877161793,0.00011057,0.000115502,-0.636754216,0.0001,Young Adults,Low,-0.3239093183262771,0.0042333743842364,0.2936610608020698,307651.3333333333,True
Jordan,1965,1173606,0.0469,48101,7143.0,17.4,8.0,13,0.542,636252.0,0.0004,3339583597,Historical,75520.66667,1188442083,0.000715581,0.000582628,-1.165721872,0.00013,Young Adults,Low,-0.3181953648443668,0.0060863697015863,0.2106537530266344,1653614.0,True
India,2050,1639176033,0.0023,3711367,-427930.0,38.1,2.24,551,0.535,876613025.0,0.1684,9735033990,Forecasted,2450972.667,6659490517,1.0,0.802731681,0.900246143,0.00551,Young Adults,Medium,0.0,-0.000261064090363,0.615508885298869,1639176033.0,True
India,2045,1620619200,0.0035,5585537,-414772.0,36.6,2.24,545,0.501,811749463.0,0.1709,9481803274,Forecasted,3614308.667,6294783425,0.988679166,0.743334849,0.750538316,0.00545,Young Adults,Medium,-0.0113208298720897,-0.000255934274998,0.5772870662460566,1629897616.5,True
