Country,Year,Population,WorldBank_Population,Urban Population,WorldBank_Urban_Population,Population Difference,Population Difference %,Urban Population Difference,Urban Population Difference %
Mexico,1960,37771859,36268055.0,19374402,18407126.0,1503804.0,4.062144102436424,967276.0,5.120364639566722
Mexico,1970,51493565,50289306.0,30708514,29681251.0,1204259.0,2.3663293993740853,1027263.0,3.4021096124484007
Mexico,1980,67761372,67705186.0,46013540,44914943.0,56186.0,0.08295183819463398,1098597.0,2.4163979509038986
Mexico,1990,83943132,81720428.0,60961783,58363912.0,2222704.0,2.683395189624079,2597871.0,4.354252451661815
Mexico,2000,98899845,97873442.0,76007411,73132993.0,1026403.0,1.0432340849192603,2874418.0,3.854646927200224
Mexico,2010,114092963,112532401.0,91292115,87567088.0,1560562.0,1.377217423906708,3725027.0,4.165317677279374
Mexico,2020,128932753,125998302.0,108074410,101719689.0,2934451.0,2.302152634954576,6354721.0,6.0580550456759985
Mexico,2020,128932753,125998302.0,108074410,101719689.0,2934451.0,2.302152634954576,6354721.0,6.0580550456759985
United Arab Emirates,1960,92418,133426.0,68086,98068.0,-41008.0,36.31533270753263,-29982.0,36.08941102832312
United Arab Emirates,1970,234514,298084.0,187928,237871.0,-63570.0,23.871663055437683,-49943.0,23.458486281085676
United Arab Emirates,1980,1019509,1014048.0,841303,818438.0,5461.0,0.5370884612528688,22865.0,2.7552491623693096
United Arab Emirates,1990,1828432,1900151.0,1470491,1502088.0,-71719.0,3.846984229665801,-31597.0,2.1258980837851578
United Arab Emirates,2000,3134062,3275333.0,2531398,2627996.0,-141271.0,4.408247580309841,-96598.0,3.744548293850014
United Arab Emirates,2010,8549988,8481771.0,6954593,7132067.0,68217.0,0.8010564264090396,-177474.0,2.5197456316827407
United Arab Emirates,2020,9890402,9287289.0,8542144,8084399.0,603113.0,6.289735297122057,457745.0,5.506195725713998
United Arab Emirates,2020,9890402,9287289.0,8542144,8084399.0,603113.0,6.289735297122057,457745.0,5.506195725713998
United States,1960,186720571,180671000.0,130757407,126462473.0,6049571.0,3.293255195558093,4294934.0,3.3395039294785454
United States,1970,209513341,205052000.0,154262109,150922373.0,4461341.0,2.1522981102272123,3339736.0,2.188666984712545
United States,1980,229476354,227225000.0,169422683,167551171.0,2251354.0,0.98591956440751,1871512.0,1.1107757933053168
United States,1990,252120309,249623000.0,190156233,187966119.0,2497309.0,0.9954528362230736,2190114.0,1.1584155173138244
United States,2000,281710909,282162411.0,222927913,223069137.0,-451502.0,0.16014306192036185,-141224.0,0.06332956686596919
United States,2010,309011475,309327143.0,249297076,249849720.0,-315668.0,0.10210198451489892,-552644.0,0.2214354592391293
United States,2020,331002651,331526933.0,273975139,274053424.0,-524282.0,0.15826674390437484,-78285.0,0.02856967876690763
United States,2020,331002651,331526933.0,273975139,274053424.0,-524282.0,0.15826674390437484,-78285.0,0.02856967876690763
