Region,Year,DataType,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Africa,1955,Historical,4357739.706896552,0.02110689655172414,86050.9827586207,-2255.7758620689656,19.694827586206895,6.418620689655172,26.844827586206897,0.1513448275862069,41419217.0,0.0015706896551724138,2773019936.0,110.03448275862068
Africa,1960,Historical,4885538.086206896,0.02284310344827586,105559.68965517242,-2690.948275862069,19.21379310344828,6.505862068965518,30.103448275862068,0.17260344827586208,53008425.0,0.0016120689655172414,3034949748.0,109.87931034482759
Africa,1965,Historical,5519780.293103448,0.02498793103448276,126848.41379310345,-3727.5344827586205,18.529310344827586,6.634655172413793,33.810344827586206,0.20063793103448277,66348835.0,0.0016517241379310345,3339583597.0,110.03448275862068
Africa,1970,Historical,6266336.517241379,0.027467241379310343,149311.27586206896,-4680.068965517241,18.020689655172415,6.679137931034482,38.44827586206897,0.23060344827586207,82637370.0,0.0016948275862068965,3700437046.0,108.53448275862068
Africa,1975,Historical,7149563.586206896,0.025175862068965518,176645.44827586206,-6789.137931034483,17.74310344827586,6.64448275862069,42.810344827586206,0.2626206896551724,103198989.0,0.001753448275862069,4079480606.0,107.86206896551724
Africa,1980,Historical,8213556.431034483,0.030901724137931033,212798.56896551725,-5672.8448275862065,17.686206896551724,6.556551724137931,48.44827586206897,0.2924137931034483,128615954.0,0.0018431034482758622,4458003514.0,106.1896551724138
Africa,1985,Historical,9459071.51724138,0.029189655172413793,249103.0172413793,-7322.362068965517,17.701724137931034,6.353965517241379,54.89655172413793,0.3235862068965517,160721947.0,0.0019379310344827586,4870921740.0,104.56896551724138
Africa,1990,Historical,10868097.22413793,0.027713793103448275,281805.1034482759,-6308.189655172414,17.83103448275862,6.035689655172414,62.56896551724138,0.35701724137931035,200111296.0,0.0020396551724137933,5327231061.0,103.27586206896552
Africa,1995,Historical,12366725.48275862,0.022625862068965517,299725.6379310345,-4870.431034482759,18.26206896551724,5.6129310344827585,68.77586206896552,0.3794137931034483,241824184.0,0.002156896551724138,5744212979.0,102.84482758620689
Africa,2000,Historical,13982486.655172413,0.025324137931034486,323152.224137931,-8651.413793103447,18.767241379310345,5.236034482758621,77.67241379310344,0.40032758620689657,285997612.0,0.0022758620689655173,6143493823.0,100.87931034482759
Africa,2005,Historical,15795763.586206896,0.024306896551724137,362655.4655172414,-8800.913793103447,19.382758620689657,4.938620689655172,86.5,0.4223103448275862,341033592.0,0.0024155172413793105,6541907027.0,99.48275862068965
Africa,2010,Historical,17919035.05172414,0.02392413793103448,424654.2586206897,-12867.98275862069,20.079310344827583,4.69896551724138,96.34482758620689,0.44474137931034485,408587045.0,0.0025775862068965517,6956823603.0,97.87931034482759
Africa,2015,Historical,20386875.586206898,0.023358620689655173,493568.1034482759,-14851.344827586207,20.70862068965517,4.442068965517241,107.15517241379311,0.46656896551724136,491531092.0,0.002768965517241379,7379797139.0,96.55172413793103
Africa,2016,Historical,20914491.74137931,0.022962068965517245,527616.1551724138,-8138.793103448276,20.862068965517242,4.378103448275862,109.44827586206897,0.4709137931034483,509683886.0,0.002806896551724138,7464022049.0,96.25862068965517
Africa,2017,Historical,21452108.05172414,0.02278793103448276,537616.3103448276,-8138.793103448276,20.862068965517242,4.378103448275862,111.79310344827586,0.47536206896551725,528371323.0,0.0028448275862068967,7547858925.0,95.96551724137932
Africa,2018,Historical,21998637.44827586,0.0226,546529.3965517242,-8138.793103448276,20.862068965517242,4.378103448275862,114.12068965517241,0.4798103448275862,547602182.0,0.0028810344827586206,7631091040.0,95.6896551724138
Africa,2019,Historical,22552830.94827586,0.022398275862068964,554193.5,-8138.793103448276,20.862068965517242,4.378103448275862,116.56896551724138,0.4844827586206897,567387619.0,0.0029172413793103445,7713468100.0,95.5
Africa,2020,Forecasted,23113761.155172415,0.022568965517241378,545377.0862068966,-8138.793103448276,21.46551724137931,4.133965517241379,119.0,0.48900000000000005,587737793.0,0.0029637931034482757,7794798739.0,95.29310344827586
Africa,2020,Historical,23519159.12280702,0.022454385964912282,570770.7719298246,-8123.684210526316,21.364912280701752,4.134561403508772,120.80701754385964,0.49280701754385964,587736139.0,0.0030157894736842104,7794798739.0,92.94736842105263
Africa,2025,Forecasted,26016124.44827586,0.021351724137931034,580472.6896551724,-9232.396551724138,22.349999999999998,4.133965517241379,131.3793103448276,0.5124137931034483,698148943.0,0.0031793103448275865,8184437460.0,94.37931034482759
Africa,2030,Forecasted,29108984.46551724,0.020112068965517243,618572.0,-7550.258620689655,23.329310344827583,4.133965517241379,144.32758620689654,0.5364310344827586,823968243.0,0.0034017241379310347,8548487400.0,92.94827586206897
Africa,2035,Forecasted,32382649.74137931,0.01883793103448276,654733.0689655172,-6861.1551724137935,24.341379310344827,4.133965517241379,157.86206896551724,0.561051724137931,966260168.0,0.0036448275862068966,8887524213.0,91.3103448275862
