country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank,DataType
Russia,2040,139031164,-0.003,-420417.0,97171.0,43.9,1.82,8,0.784,109062126.0,0.0151,9198847240,12,Forecasted
Caribbean Netherlands,2020,26223,0.0131,331.0,247549.5,45.5,1.53,80,0.75,19672.0,0.0,7794798739,221,Forecasted
Fiji,2025,929986,0.0074,6708.0,-3414.0,28.7,2.79,51,0.61,567088.0,0.0001,8184437460,162,Forecasted
Wallis And Futuna Islands,2045,9487,-0.0067,-65.0,-83146.5,41.2,2.06,68,0.0,0.0,0.0,9481803274,228,Forecasted
Poland,2050,33294567,-0.006,-203081.0,-10000.0,51.2,1.42,109,0.685,22799232.0,0.0034,9735033990,59,Forecasted
Thailand,2035,69899112,-0.0013,-89285.0,18677.0,45.2,1.53,137,0.61,42609309.0,0.0079,8887524213,23,Forecasted
Saint Kitts And Nevis,2050,56161,-0.0016,-90.0,-9000.0,27.2,4.1,216,0.455,25561.0,0.0,9735033990,208,Forecasted
Macao,2025,693893,0.0134,8912.0,5000.0,41.7,1.2,23130,0.996,312466.0,0.0001,8184437460,167,Forecasted
Wallis And Futuna Islands,2040,9810,-0.0059,-59.0,-83146.5,41.2,2.06,70,0.0,0.0,0.0,9198847240,228,Forecasted
Lesotho,2040,2507454,0.0073,17856.0,-4000.0,27.7,3.16,83,0.462,1158199.0,0.0003,9198847240,147,Forecasted
Bosnia And Herzegovina,2050,2685037,-0.0089,-24519.0,-501.0,51.4,1.27,53,0.736,1975983.0,0.0003,9735033990,145,Forecasted
Panama,2045,5660974,0.0079,43746.0,2000.0,36.3,2.47,76,0.7759999999999999,4392362.0,0.0006,9481803274,124,Forecasted
Cabo Verde,2050,679394,0.0034,2277.0,-816.5,38.9,2.29,169,0.8370000000000001,568705.0,0.0001,9735033990,171,Forecasted
Portugal,2035,9747506,-0.0034,-33035.0,10000.0,51.0,1.29,106,0.732,7135335.0,0.0011,8887524213,97,Forecasted
Algeria,2045,58325558,0.0095,537158.0,-10000.0,33.4,3.05,24,0.79,46053277.0,0.0062,9481803274,32,Forecasted
